x,y
thanks for coming thanks for,the
for coming thanks for the,warm
coming thanks for the warm,welcome
thanks for the warm welcome,thanks
for the warm welcome thanks,for
the warm welcome thanks for,joining
warm welcome thanks for joining,me
welcome thanks for joining me,as
thanks for joining me as,i
for joining me as i,make
joining me as i make,this
me as i make this,important
as i make this important,announcement
i make this important announcement,--
make this important announcement --,an
this important announcement -- an,announcement
important announcement -- an announcement,that
announcement -- an announcement that,i
-- an announcement that i,believe
an announcement that i believe,will
announcement that i believe will,make
that i believe will make,america
i believe will make america,a
believe will make america a,more
will make america a more,compassionate
make america a more compassionate,and
america a more compassionate and,more
a more compassionate and more,humane
more compassionate and more humane,and
compassionate and more humane and,stronger
and more humane and stronger,country
more humane and stronger country,.
humane and stronger country .,i
and stronger country . i,appreciate
stronger country . i appreciate,members
country . i appreciate members,of
. i appreciate members of,my
i appreciate members of my,cabinet
appreciate members of my cabinet,who
members of my cabinet who,have
of my cabinet who have,joined
my cabinet who have joined,me
cabinet who have joined me,today
who have joined me today,starting
have joined me today starting,with
joined me today starting with,our
me today starting with our,secretary
today starting with our secretary,of
starting with our secretary of,state
with our secretary of state,colin
our secretary of state colin,powell
secretary of state colin powell,.
of state colin powell .,applause
state colin powell . applause,.
colin powell . applause .,i
powell . applause . i,'m
. applause . i 'm,honored
applause . i 'm honored,that
. i 'm honored that,our
i 'm honored that our,attorney
'm honored that our attorney,general
honored that our attorney general,john
that our attorney general john,ashcroft
our attorney general john ashcroft,has
attorney general john ashcroft has,joined
general john ashcroft has joined,us
john ashcroft has joined us,.
ashcroft has joined us .,applause
has joined us . applause,.
joined us . applause .,secretary
us . applause . secretary,of
. applause . secretary of,commerce
applause . secretary of commerce,don
. secretary of commerce don,evans
secretary of commerce don evans,.
of commerce don evans .,applause
commerce don evans . applause,.
don evans . applause .,secretary
evans . applause . secretary,tom
. applause . secretary tom,ridge
applause . secretary tom ridge,of
. secretary tom ridge of,the
secretary tom ridge of the,department
tom ridge of the department,of
ridge of the department of,homeland
of the department of homeland,security
the department of homeland security,.
department of homeland security .,applause
of homeland security . applause,.
homeland security . applause .,el
security . applause . el,embajador
. applause . el embajador,of
applause . el embajador of,mexico
. el embajador of mexico,tony
el embajador of mexico tony,garza
embajador of mexico tony garza,.
of mexico tony garza .,applause
mexico tony garza . applause,.
tony garza . applause .,i
garza . applause . i,thank
. applause . i thank,all
applause . i thank all,the
. i thank all the,other
i thank all the other,members
thank all the other members,of
all the other members of,my
the other members of my,administration
other members of my administration,who
members of my administration who,have
of my administration who have,joined
my administration who have joined,us
administration who have joined us,today
who have joined us today,.
have joined us today .,i
joined us today . i,appreciate
us today . i appreciate,the
today . i appreciate the,members
. i appreciate the members,of
i appreciate the members of,congress
appreciate the members of congress,who
the members of congress who,have
members of congress who have,taken
of congress who have taken,time
congress who have taken time,to
who have taken time to,come
have taken time to come,senator
taken time to come senator,larry
time to come senator larry,craig
to come senator larry craig,congressman
come senator larry craig congressman,chris
senator larry craig congressman chris,cannon
larry craig congressman chris cannon,and
craig congressman chris cannon and,congressman
congressman chris cannon and congressman,jeff
chris cannon and congressman jeff,flake
cannon and congressman jeff flake,.
and congressman jeff flake .,i
congressman jeff flake . i,'m
jeff flake . i 'm,honored
flake . i 'm honored,you
. i 'm honored you,all
i 'm honored you all,have
'm honored you all have,joined
honored you all have joined,us
you all have joined us,thank
all have joined us thank,you
have joined us thank you,for
joined us thank you for,coming
us thank you for coming,.
thank you for coming .,i
you for coming . i,appreciate
for coming . i appreciate,the
coming . i appreciate the,members
. i appreciate the members,of
i appreciate the members of,citizen
appreciate the members of citizen,groups
the members of citizen groups,who
members of citizen groups who,have
of citizen groups who have,joined
citizen groups who have joined,us
groups who have joined us,today
who have joined us today,.
have joined us today .,chairman
joined us today . chairman,of
us today . chairman of,the
today . chairman of the,hispanic
. chairman of the hispanic,alliance
chairman of the hispanic alliance,for
of the hispanic alliance for,progress
the hispanic alliance for progress,manny
hispanic alliance for progress manny,lujan
alliance for progress manny lujan,.
for progress manny lujan .,gil
progress manny lujan . gil,moreno
manny lujan . gil moreno,the
lujan . gil moreno the,president
. gil moreno the president,and
gil moreno the president and,ceo
moreno the president and ceo,of
the president and ceo of,the
president and ceo of the,association
and ceo of the association,for
ceo of the association for,the
of the association for the,advancement
the association for the advancement,of
association for the advancement of,mexican
for the advancement of mexican,americans
the advancement of mexican americans,.
advancement of mexican americans .,roberto
of mexican americans . roberto,de
mexican americans . roberto de,posada
americans . roberto de posada,the
. roberto de posada the,president
roberto de posada the president,of
de posada the president of,the
posada the president of the,latino
the president of the latino,coalition
president of the latino coalition,.
of the latino coalition .,and
the latino coalition . and,hector
latino coalition . and hector,flores
coalition . and hector flores,the
. and hector flores the,president
and hector flores the president,of
